,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,2,Part2_0,0,3,3
2,3,Part3_0,0,4,4
3,1,Part1_0,0,2,2
4,4,Part4_0,0,5,5
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,1,Part1_1,7,9,2
11,2,Part0_0,8,13,5
12,3,Part3_1,9,13,4
13,4,Part4_1,10,15,5
14,1,Part4_0,10,15,5
15,0,Part0_1,10,11,1
16,0,Part3_0,11,16,5
17,2,Part1_1,13,18,5
18,3,Part1_0,13,18,5
19,1,Part0_1,15,20,5
20,4,Part2_0,15,20,5
21,0,Part4_1,16,21,5
22,3,Part0_0,18,23,5
23,2,Part4_0,18,23,5
24,4,Part3_1,20,25,5
25,1,Part3_0,20,25,5
26,0,Part2_0,21,26,5
27,3,Part1_1,23,28,5
28,2,Part0_1,23,28,5
29,4,Part1_0,25,30,5
30,1,Part1_2,25,27,2
31,0,Part3_1,26,31,5
32,1,Part4_1,27,32,5
33,3,Part3_2,28,32,4
34,2,Part3_0,28,33,5
35,4,Part0_0,30,35,5
36,0,Part1_0,31,36,5
37,3,Part4_0,32,37,5
38,1,Part2_0,32,37,5
39,2,Part1_2,33,38,5
40,4,Part1_1,35,40,5
41,3,Part0_1,37,42,5
42,1,Part3_1,37,42,5
43,2,Part4_1,38,43,5
44,4,Part3_2,40,45,5
45,0,Part1_1,40,45,5
46,3,Part3_3,42,46,4
47,1,Part1_3,42,44,2
48,2,Part3_1,43,48,5
49,4,Part4_2,45,50,5
50,0,Part3_2,45,50,5
51,3,Part1_2,46,51,5
52,2,Part1_3,48,53,5
53,0,Part0_2,50,51,1
54,4,Part0_1,50,55,5
55,1,Part3_2,50,55,5
56,0,Part4_2,51,56,5
57,3,Part4_1,51,56,5
58,2,Part2_1,53,56,3
59,4,Part3_3,55,60,5
60,1,Part0_2,55,60,5
61,3,Part1_3,56,61,5
62,2,Part3_2,56,61,5
63,4,Part1_2,60,65,5
64,1,Part4_2,60,65,5
65,0,Part3_3,60,65,5
66,2,Part0_2,61,66,5
67,3,Part2_1,61,66,5
68,1,Part1_4,65,67,2
69,0,Part1_2,65,70,5
70,4,Part1_3,65,70,5
71,3,Part3_4,66,70,4
72,2,Part4_2,66,71,5
73,1,Part3_3,67,72,5
74,3,Part3_5,70,74,4
75,0,Part0_3,70,71,1
76,4,Part2_1,70,75,5
77,0,Part1_3,71,76,5
78,2,Part1_4,71,76,5
79,1,Part0_3,72,77,5
80,3,Part0_2,74,79,5
81,4,Part4_3,75,80,5
82,0,Part2_1,76,81,5
83,2,Part3_3,76,81,5
84,3,Part4_2,79,84,5
85,1,Part1_5,79,81,2
86,4,Part3_4,80,85,5
87,0,Part4_3,81,86,5
88,2,Part0_3,81,86,5
89,1,Part2_1,81,86,5
90,3,Part1_4,84,89,5
91,4,Part3_5,85,90,5
92,2,Part1_5,86,91,5
93,1,Part4_3,86,91,5
94,0,Part3_4,86,91,5
95,3,Part0_3,89,94,5
96,4,Part4_4,90,95,5
97,0,Part3_5,91,96,5
98,2,Part2_2,91,94,3
99,1,Part1_6,91,93,2
100,1,Part3_4,93,98,5
101,2,Part4_3,94,99,5
102,3,Part3_6,94,98,4
