,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,4,Part4_0,0,5,5
2,1,Part1_0,0,2,2
3,3,Part3_0,0,4,4
4,2,Part2_0,0,3,3
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,2,Part0_0,8,13,5
11,3,Part1_0,9,14,5
12,1,Part4_0,10,15,5
13,0,Part3_0,10,15,5
14,4,Part2_0,10,15,5
15,3,Part0_0,14,19,5
16,1,Part3_0,15,20,5
17,4,Part1_0,15,20,5
18,2,Part4_0,15,20,5
19,0,Part2_0,15,20,5
20,2,Part3_0,20,25,5
21,0,Part1_0,20,25,5
22,3,Part4_0,20,25,5
23,1,Part2_0,20,25,5
24,4,Part0_0,20,25,5
