,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,2,Part2_0,0,3,3
2,3,Part3_0,0,4,4
3,4,Part4_0,0,5,5
4,1,Part1_0,0,2,2
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,2,Part0_0,8,13,5
11,3,Part1_0,9,14,5
12,1,Part4_0,10,15,5
13,0,Part3_0,10,15,5
14,4,Part2_0,10,15,5
15,3,Part0_0,14,19,5
16,4,Part1_0,15,20,5
17,1,Part3_0,15,20,5
18,0,Part2_0,15,20,5
19,2,Part4_0,15,20,5
20,1,Part2_0,20,25,5
21,3,Part4_0,20,25,5
22,4,Part0_0,20,25,5
23,0,Part1_0,20,25,5
24,2,Part3_0,20,25,5
25,3,Part3_1,30,34,4
26,4,Part4_1,30,35,5
27,2,Part2_1,30,33,3
28,1,Part1_1,30,32,2
29,0,Part0_1,30,31,1
30,1,Part0_1,32,37,5
31,2,Part1_1,33,38,5
32,3,Part2_1,34,39,5
33,0,Part4_1,35,40,5
34,4,Part3_1,35,40,5
35,2,Part0_1,38,43,5
36,3,Part1_1,39,44,5
37,1,Part4_1,40,45,5
38,4,Part2_1,40,45,5
39,0,Part3_1,40,45,5
40,3,Part0_1,44,49,5
41,1,Part3_1,45,50,5
42,4,Part1_1,45,50,5
43,2,Part4_1,45,50,5
44,0,Part2_1,45,50,5
45,0,Part1_1,50,55,5
46,4,Part0_1,50,55,5
47,3,Part4_1,50,55,5
48,1,Part2_1,50,55,5
49,2,Part3_1,50,55,5
50,0,Part0_2,60,61,1
51,3,Part3_2,60,64,4
52,1,Part1_2,60,62,2
53,2,Part2_2,60,63,3
54,4,Part4_2,60,65,5
55,1,Part0_2,62,67,5
56,2,Part1_2,63,68,5
57,3,Part2_2,64,69,5
