,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,3,Part3_0,0,4,4
2,1,Part1_0,0,2,2
3,4,Part4_0,0,5,5
4,2,Part2_0,0,3,3
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,2,Part0_0,8,13,5
11,3,Part1_0,9,14,5
12,1,Part4_0,10,15,5
13,4,Part4_1,10,15,5
14,0,Part3_0,10,15,5
15,3,Part0_0,14,19,5
16,2,Part4_0,15,20,5
17,0,Part0_1,15,16,1
18,4,Part2_0,15,20,5
19,1,Part3_0,15,20,5
20,0,Part4_1,16,21,5
21,3,Part4_0,20,25,5
22,2,Part3_0,20,25,5
23,4,Part1_0,20,25,5
24,1,Part0_1,20,25,5
25,0,Part2_0,21,26,5
26,4,Part0_0,25,30,5
27,2,Part0_1,25,30,5
28,1,Part4_1,25,30,5
29,0,Part1_0,26,31,5
30,1,Part2_0,30,35,5
31,3,Part0_1,30,35,5
32,2,Part2_1,30,33,3
33,2,Part2_2,33,36,3
34,4,Part0_1,35,40,5
35,3,Part3_1,35,39,4
36,2,Part4_1,36,41,5
37,0,Part0_2,38,39,1
38,1,Part1_1,38,40,2
39,3,Part2_1,39,44,5
40,4,Part3_1,40,45,5
41,1,Part0_2,40,45,5
42,2,Part1_1,41,46,5
43,3,Part2_2,44,49,5
44,4,Part4_2,45,50,5
45,0,Part3_1,45,50,5
46,2,Part0_2,46,51,5
47,3,Part4_1,49,54,5
48,4,Part2_1,50,55,5
49,0,Part4_2,50,55,5
50,1,Part3_1,50,55,5
51,3,Part3_2,54,58,4
52,2,Part3_1,55,60,5
53,0,Part2_1,55,60,5
54,1,Part4_2,55,60,5
55,4,Part2_2,55,60,5
56,3,Part1_1,58,63,5
57,2,Part4_2,60,65,5
58,1,Part2_1,60,65,5
59,0,Part2_2,60,65,5
60,4,Part4_3,60,65,5
61,3,Part3_3,63,67,4
62,0,Part4_3,65,70,5
63,4,Part3_2,65,70,5
64,1,Part2_2,65,70,5
65,3,Part0_2,67,72,5
66,2,Part2_3,68,71,3
67,0,Part3_2,70,75,5
68,1,Part1_2,70,72,2
69,4,Part1_1,70,75,5
70,1,Part4_3,72,77,5
71,3,Part4_2,72,77,5
72,2,Part1_2,72,77,5
73,4,Part3_3,75,80,5
74,0,Part0_3,75,76,1
75,0,Part1_1,76,81,5
76,2,Part4_3,77,82,5
77,3,Part2_3,77,82,5
78,1,Part3_2,77,82,5
79,4,Part0_2,80,85,5
80,0,Part3_3,81,86,5
81,3,Part1_2,82,87,5
82,2,Part3_2,82,87,5
83,1,Part0_3,82,87,5
84,4,Part2_3,85,90,5
85,2,Part2_4,87,90,3
86,1,Part1_3,87,89,2
87,3,Part3_4,87,91,4
88,1,Part3_3,89,94,5
89,4,Part4_4,90,95,5
90,0,Part2_3,90,95,5
91,2,Part0_3,90,95,5
92,3,Part3_5,91,95,4
93,1,Part1_4,94,96,2
